id;Performer;Title;Inst.;Style;Year;Tempo;Number of Notes
1;Art Pepper;Anthropology;cl;Cool;1979;219.2;530
2;Art Pepper;Blues for Blanche;as;Cool;1979;199.8;666
3;Art Pepper;Desafinado;as;Cool;1979;140.6;373
4;Art Pepper;In A Mellow Tone;cl;Cool;1979;167.7;565
5;Art Pepper;Stardust;as;Cool;1979;60.9;591
7;Benny Carter;I Got It Bad;as;Swing;1952;68.2;558
8;Benny Carter;It’s a Wonderful World;as;Swing;1986;124.0;429
9;Benny Carter;It’s a Wonderful World (2);as;Swing;1986;127.2;249
10;Benny Carter;Long Ago And Far Away;as;Swing;1952;185.4;231
11;Benny Carter;Sweet Lorraine;as;Swing;1986;91.8;364
12;Benny Goodman;Avalon;cl;Swing;1937;239.7;162
13;Benny Goodman;Handful of Keys;cl;Swing;1937;303.5;88
14;Benny Goodman;Nobody’s Sweetheart;cl;Swing;1936;310.1;199
15;Benny Goodman;Runnin’ Wild;cl;Swing;1937;284.8;162
16;Benny Goodman;Tiger Rag;cl;Swing;1936;268.5;180
19;Ben Webster;Bye Bye Blackbird;ts;Swing;1959;140.9;420
20;Ben Webster;Did You Call Her Today;ts;Swing;1962;118.3;434
21;Ben Webster;My Ideal;ts;Swing;1956;74.1;308
22;Ben Webster;Night And Day;ts;Swing;1956;181.8;375
23;Ben Webster;Where or When;ts;Swing;1956;82.0;268
28;Bob Berg;Angles;ts;Postbop;1993;270.3;799
29;Bob Berg;Blues For Bela;ts;Postbop;1993;250.7;533
30;Bob Berg;I Didn't Know What Time It Was;ts;Postbop;1979;127.2;908
31;Bob Berg;Nature of the Beast;ts;Postbop;1993;131.8;964
32;Bob Berg;No Moe;ts;Postbop;1993;160.6;634
37;Cannonball Adderley;High Fly;as;Hardbop;1959;129.0;530
38;Cannonball Adderley;So What;as;Hardbop;1959;142.6;445
39;Cannonball Adderley;Star Eyes;as;Hardbop;1961;194.3;450
40;Cannonball Adderley;This Here;as;Hardbop;1959;175.1;827
41;Cannonball Adderley;Work Song;as;Hardbop;1960;156.5;371
43;Charlie Parker;Donna Lee;as;Bebop;1947;224.7;370
44;Charlie Parker;Ornithology (1946);as;Bebop;1946;220.3;195
45;Charlie Parker;Scrapple From The Apple;as;Bebop;1947;197.3;270
46;Charlie Parker;Thriving On A Riff;as;Bebop;1945;226.3;357
47;Charlie Parker;Yardbird Suite;as;Bebop;1946;210.5;193
50;Chet Baker;Just Friends;tp;Cool;1955;189.9;189
51;Chet Baker;Let’s Get Lost;tp;Cool;1955;157.5;130
52;Chet Baker;Long Ago And Far Away;tp;Cool;1955;178.1;171
