id;Performer;Inst;Style;Year;Tempo
4;Benny Goodman;ts;Postbop;1964;127.2
10;Cannonball Adderley;ts;Postbop;1964;116.0
15;Benny Goodman;ts;Postbop;1964;107.0
22;Don Byas;ts;Postbop;1964;64.3
31;John Coltrane;ts;Postbop;1964;116.0
40;Bob Berg;ts;Postbop;1964;116.0
46;John Coltrane;ts;Postbop;1964;116.0
53;Kenny Dorham;ts;Postbop;1964;127.2
61;Chet Baker;ts;Postbop;1964;127.2
67;Don Byas;ts;Postbop;1964;151.0
74;Freddie Hubbard;ts;Postbop;1964;127.2
80;David Murray;ts;Postbop;1964;151.0
85;Dexter Gordon;ts;Postbop;1964;64.3
93;Dizzy Gillespie;ts;Postbop;1964;127.2
98;Lester Young;ts;Postbop;1964;151.0
115;Freddie Hubbard;ts;Postbop;1964;116.0
129;Stan Getz;ts;Postbop;1964;64.3
135;Joshua Redman;ts;Postbop;1964;210.5
141;Michael Brecker;ts;Postbop;1964;210.5
147;Charlie Parker;ts;Postbop;1964;210.5
161;Joshua Redman;ts;Postbop;1964;116.0
167;Woody Shaw;ts;Postbop;1964;127.2
179;Ornette Coleman;ts;Postbop;1964;127.2
185;Coleman Hawkins;ts;Postbop;1964;151.0
194;Lee Konitz;ts;Postbop;1964;127.2
200;Benny Carter;ts;Postbop;1964;127.2
208;Clifford Brown;ts;Postbop;1964;127.2
218;Chet Baker;ts;Postbop;1964;127.2
226;Charlie Parker;ts;Postbop;1964;127.2
234;Lee Konitz;ts;Postbop;1964;127.2
250;Joe Henderson;ts;Postbop;1964;210.5
259;J.J. Johnson;ts;Postbop;1964;116.0
267;Bob Berg;ts;Postbop;1964;116.0
272;Freddie Hubbard;ts;Postbop;1964;107.0
287;Cannonball Adderley;ts;Postbop;1964;127.2
293;Woody Shaw;ts;Postbop;1964;127.2
