id;Performer;Inst;Style;Year;Tempo
1;Ornette Coleman;ts;Postbop;1964;98.9
7;Roy Eldridge;ts;Postbop;1964;127.2
12;Charlie Parker;ts;Postbop;1964;127.2
19;Miles Davis;ts;Postbop;1964;157.5
28;Lee Konitz;ts;Postbop;1964;98.9
37;Joe Henderson;ts;Postbop;1964;151.0
43;Lee Konitz;ts;Postbop;1964;98.9
50;Louis Armstrong;ts;Postbop;1964;98.9
58;Louis Armstrong;ts;Postbop;1964;98.9
64;Sonny Rollins;ts;Postbop;1964;98.9
71;Joe Henderson;ts;Postbop;1964;151.0
77;Joe Henderson;ts;Postbop;1964;151.0
82;Ornette Coleman;ts;Postbop;1964;98.9
90;Chet Baker;ts;Postbop;1964;98.9
95;Chet Baker;ts;Postbop;1964;98.9
112;Ben Webster;ts;Postbop;1964;98.9
126;Ben Webster;ts;Postbop;1964;98.9
132;Bob Berg;ts;Postbop;1964;127.2
137;Joe Lovano;ts;Postbop;1964;127.2
144;Ben Webster;ts;Postbop;1964;98.9
158;Joe Henderson;ts;Postbop;1964;151.0
164;Dizzy Gillespie;ts;Postbop;1964;127.2
176;Chet Baker;ts;Postbop;1964;98.9
182;Chet Baker;ts;Postbop;1964;98.9
190;Dizzy Gillespie;ts;Postbop;1964;127.2
196;Charlie Parker;ts;Postbop;1964;127.2
204;Ornette Coleman;ts;Postbop;1964;98.9
215;Lee Konitz;ts;Postbop;1964;98.9
223;Ben Webster;ts;Postbop;1964;98.9
231;Ornette Coleman;ts;Postbop;1964;98.9
240;Chet Baker;ts;Postbop;1964;98.9
256;Louis Armstrong;ts;Postbop;1964;98.9
263;Paul Desmond;ts;Postbop;1964;98.9
269;Joe Lovano;ts;Postbop;1964;151.0
281;Coleman Hawkins;ts;Postbop;1964;127.2
290;Joe Lovano;ts;Postbop;1964;127.2
